3Ba | 3Bb | 2Bb | 0Bb 4Ac 3Bc 0Ac | 2Bc 0Bc 2Ab 1Ba | 2Ba | 1Aa 0Aa 3Ab | 4Ab | 4Bc 2Aa 1Bc 4Aa | 1Bb | 1Ac 0Ba | 1Ab 4Bb | 2Ac Inp 3Ac | 4Ba | 0Ab 3Aa 
3Ba | 2Ab 1Ba 3Bc 4Bb 0Ba 1Ac | 4Ab | 3Ab | 0Bc 4Bc 2Ac 3Ac 2Bc | 4Ac 2Aa | 0Aa | 0Bb | 1Bc 0Ab | 4Aa | 1Ab | Inp 3Bb 3Aa 2Bb | 4Ba 1Bb | 1Aa | 0Ac 2Ba 
0Ac 1Ac 4Aa 2Ac | 4Ab 4Bb | 1Ba 2Aa | 4Ac 3Aa | 1Aa | 1Ab 3Bb 4Bc 0Bc | 2Ab | 0Ba 3Ab 2Ba 3Bc | 4Ba | 3Ba | 1Bb | 2Bb 0Aa | Inp 3Ac | 1Bc 2Bc | 0Ab 0Bb 
4Bb 3Ba | 4Ba 0Aa 3Ab 4Ac | 2Bb 2Ac | 0Ab | 1Ab | 0Bc 2Ab | 2Aa | 2Bc 0Ac 3Bc | 4Aa | 4Ab 1Ba | 3Ac 0Bb Inp 1Aa | 3Bb | 0Ba | 1Ac 1Bc 3Aa 2Ba | 4Bc 1Bb 
2Ac 0Ba | 2Bc | 1Ba | 4Ba | 3Bb | 0Aa | 2Aa | 1Bb | 1Ab 3Ab 3Ba 0Ac | 0Ab | 0Bb 1Ac 2Bb 3Bc 2Ab 4Ab 1Bc | 4Bc 2Ba | 1Aa 3Aa | Inp 4Ac | 0Bc 4Aa 3Ac 4Bb 
1Ba 0Ab | 4Bc 2Ac 0Bc 3Ba 3Ac 0Ac | 3Ab | 1Bb 2Ba | 0Bb 3Bb 4Ab 1Ac | Inp 3Bc | 4Ba | 0Ba | 4Bb | 1Bc 4Aa | 1Aa 2Aa 4Ac 2Bc | 1Ab 2Ab | 3Aa | 0Aa | 2Bb 
4Ab | 0Aa | Inp 4Bc 0Ba 1Bb | 2Ac 1Ac 4Ba | 1Ba 0Ab | 3Aa 0Bb | 2Ba | 2Bc 0Bc | 1Ab | 1Bc 0Ac 2Aa 3Bc 4Bb 4Ac 3Ac | 2Ab 2Bb | 3Ab | 1Aa 3Bb | 3Ba | 4Aa 
3Ab | 1Ba | 4Ac 2Ab 1Bc | 4Aa | 2Ba | 0Ab 2Aa | 1Ab | 3Ba | 0Ba | 4Bc 0Bc 2Bb 4Ab | 0Bb | 0Ac 3Ac | 2Bc 3Bc 1Ac 1Bb | 3Aa 0Aa 4Bb | 4Ba Inp 3Bb 1Aa 2Ac 
3Ab | 3Aa | 1Bc 2Ac | 1Ab 2Ab | 4Ab | 0Ab 1Ac 4Bc | 3Bb | 2Bb 0Bb 4Ba | 1Ba 1Aa | 0Bc 1Bb | 4Ac 0Ba 0Ac 2Ba 3Ac | 4Bb Inp 4Aa 3Ba | 3Bc 2Bc | 0Aa | 2Aa 
1Bb 0Ac 0Bc | 4Ba 0Ba | 2Aa 1Bc 3Bc | 4Ab | 1Aa | 3Aa | 1Ba 2Ac 2Ba | 3Bb | 3Ab 4Bc 2Bc 1Ac | 3Ba 0Bb 4Bb 3Ac Inp | 0Aa | 4Aa | 1Ab 4Ac | 2Ab 2Bb | 0Ab 
0Ac 4Bc 0Ba | 4Ab 2Aa | 3Ba | 4Ba | 1Bb | 1Aa | Inp 0Bc 1Ba 4Bb 1Ab | 1Bc 2Bc | 2Ab 0Bb 2Bb | 0Ab 4Aa | 3Aa | 2Ac 3Ac 1Ac 0Aa | 4Ac 3Bb | 3Ab | 2Ba 3Bc 
